2	header
$Id: postResults 861 2011-05-06 10:00:27Z MPIE\c.kords $
inc	time	elem	node	ip	grain	ip.x	ip.y	ip.z	CauchyStress.intensity	CauchyStress.t11	CauchyStress.t22	CauchyStress.t33	CauchyStress.t12	CauchyStress.t23	CauchyStress.t13	1_1_f	1_2_f	1_3_f	1_4_f	1_5_f	1_6_f	1_7_f	1_8_f	1_9_f	1_1_grainrotation	1_2_grainrotation	1_3_grainrotation	1_4_grainrotation	1_1_resistance_slip	1_2_resistance_slip	1_3_resistance_slip	1_4_resistance_slip	1_5_resistance_slip	1_6_resistance_slip	1_7_resistance_slip	1_8_resistance_slip	1_9_resistance_slip	1_10_resistance_slip	1_11_resistance_slip	1_12_resistance_slip
29	29.0	1	5	1	1	0.5	0.5	0.5	0.0606526623375	-0.11671321094	-0.180158898234	-0.169930398464	0.00211710762233	0.003298870055	0.00710933981463	1.0	7.76414658477e-14	7.76414319664e-14	4.44384214485e-14	0.874619722366	-0.484809607267	1.45310806031e-13	0.484809607267	0.874619722366	1.0	-6.9789633057e-14	-3.42433838175e-14	29.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
30	30.0	1	5	1	1	0.5	0.5	0.5	0.0582944850272	-0.1107018888	-0.171804904938	-0.161417961121	0.00197660620324	0.00309796072543	0.00709319859743	1.0	7.7092669813e-14	7.70926291555e-14	4.15282669635e-14	0.866025388241	-0.5	1.44978782668e-13	0.5	0.866025388241	1.0	-6.78861535128e-14	-3.55643994614e-14	30.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
31	31.0	1	5	1	1	0.5	0.5	0.5	0.0557503201598	-0.104059666395	-0.162606656551	-0.152081504464	0.00184033811092	0.00289721833542	0.00708150491118	1.0	7.65807840861e-14	7.65807502048e-14	3.87372832379e-14	0.857167303562	-0.515038073063	1.44792137264e-13	0.515038073063	0.857167303562	1.0	-6.62197551025e-14	-3.67385463685e-14	31.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
32	32.0	1	5	1	1	0.5	0.5	0.5	0.0529884126408	-0.0968004092574	-0.152546048164	-0.14190004766	0.00170668761712	0.0026978047099	0.00706525752321	1.0	7.6105117488e-14	7.61050768304e-14	3.60106096418e-14	0.848048090935	-0.529919266701	1.44433035952e-13	0.529919266701	0.848048090935	1.0	-6.44701645043e-14	-3.78307716371e-14	32.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
33	33.0	1	5	1	1	0.5	0.5	0.5	0.0500567272075	-0.0890314355493	-0.141778171062	-0.131015405059	0.00157438474707	0.00249168649316	0.00705360202119	1.0	7.56650127211e-14	7.56649788398e-14	3.33055252214e-14	0.838670551777	-0.544639050961	1.44223988221e-13	0.544639050961	0.838670551777	1.0	-6.29398605716e-14	-3.88876756317e-14	33.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
34	34.0	1	5	1	1	0.5	0.5	0.5	0.0469640629868	-0.0807560905814	-0.130312100053	-0.119427792728	0.00144245161209	0.00229033012874	0.00704180356115	1.0	7.52598734743e-14	7.52598328167e-14	3.05895784506e-14	0.829037606716	-0.559192895889	1.43997755885e-13	0.559192895889	0.829037606716	1.0	-6.14617270923e-14	-3.99417607007e-14	34.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
35	35.0	1	5	1	1	0.5	0.5	0.5	0.0437172172209	-0.071987785399	-0.118148125708	-0.107174038887	0.00131240475457	0.00208335206844	0.00703246705234	1.0	7.48891440939e-14	7.48891034364e-14	2.79183008092e-14	0.819152057171	-0.573576450348	1.43846116659e-13	0.573576450348	0.819152057171	1.0	-6.01114481542e-14	-4.09455862228e-14	35.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
36	36.0	1	5	1	1	0.5	0.5	0.5	0.0403788372113	-0.0627495497465	-0.105374902487	-0.0943066850305	0.00118379341438	0.00188469397835	0.00702259968966	1.0	7.45523163603e-14	7.45522757027e-14	2.5277750135e-14	0.809017002583	-0.587785243988	1.43663347277e-13	0.587785243988	0.809017002583	1.0	-5.87893923538e-14	-4.19154524999e-14	36.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
37	37.0	1	5	1	1	0.5	0.5	0.5	0.0369407713034	-0.053146019578	-0.0920672789216	-0.0809241756797	0.00105845439248	0.00168191338889	0.0070105525665	1.0	7.42489362636e-14	7.42488888298e-14	2.27346861768e-14	0.798635542393	-0.601814985275	1.43391131217e-13	0.601814985275	0.798635542393	1.0	-5.74447715958e-14	-4.27990704942e-14	37.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
38	38.0	1	5	1	1	0.5	0.5	0.5	0.0334600072977	-0.0431970842183	-0.0782782137394	-0.0670673400164	0.000933687435463	0.00148375425488	0.00700649619102	1.0	7.39785836756e-14	7.39785362418e-14	2.01957371047e-14	0.788010776043	-0.61566144228	1.43388285186e-13	0.61566144228	0.788010776043	1.0	-5.63700595804e-14	-4.36789107216e-14	38.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
39	39.0	1	5	1	1	0.5	0.5	0.5	0.0299732687575	-0.032885748893	-0.0640020221472	-0.0527336075902	0.000808531127404	0.00128437299281	0.00699805375189	1.0	7.37408926781e-14	7.37408452443e-14	1.76288596622e-14	0.777145981789	-0.629320383072	1.4321798413e-13	0.629320383072	0.777145981789	1.0	-5.52001275093e-14	-4.45814548201e-14	39.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
40	40.0	1	5	1	1	0.5	0.5	0.5	0.0265501119175	-0.0222893729806	-0.0493332147598	-0.0380037464201	0.000683732156176	0.00107720762026	0.00699263811111	1.0	7.35355447866e-14	7.35354973528e-14	1.50622549643e-14	0.766044437885	-0.642787575722	1.43141751165e-13	0.642787575722	0.766044437885	1.0	-5.41440536069e-14	-4.54841479964e-14	40.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
41	41.0	1	5	1	1	0.5	0.5	0.5	0.0232912298862	-0.0114479679614	-0.0343343839049	-0.0229646526277	0.000558626372367	0.000879483588506	0.00698518194258	1.0	7.33622553982e-14	7.33622079643e-14	1.24743245179e-14	0.754709601402	-0.656059026718	1.42980692932e-13	0.656059026718	0.754709601402	1.0	-5.30580997703e-14	-4.64043103802e-14	41.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
42	42.0	1	5	1	1	0.5	0.5	0.5	0.0203406476883	-0.000415417132899	-0.0190748237073	-0.00765737332404	0.000437716866145	0.000681487843394	0.00698295794427	1.0	7.32207941197e-14	7.32207466859e-14	1.00257809663e-14	0.7431448102	-0.669130623341	1.42991467191e-13	0.669130623341	0.7431448102	1.0	-5.21353590182e-14	-4.72217344437e-14	42.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
43	43.0	1	5	1	1	0.5	0.5	0.5	0.017873190849	0.0107409814373	-0.00360602373257	0.00782212708145	0.000314239208819	0.000479505921248	0.00697580305859	1.0	7.31109712159e-14	7.31109170058e-14	7.47973206403e-15	0.731353700161	-0.681998372078	1.42815406311e-13	0.681998372078	0.731353700161	1.0	-5.1103120623e-14	-4.81168585336e-14	43.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
44	44.0	1	5	1	1	0.5	0.5	0.5	0.0162081584588	0.0220755711198	0.0120714716613	0.0235084760934	0.000193880769075	0.000282061198959	0.00697334948927	1.0	7.30326240564e-14	7.30325698463e-14	5.03865299026e-15	0.71933978796	-0.694658339024	1.42792353462e-13	0.694658339024	0.71933978796	1.0	-5.02115777884e-14	-4.89405845223e-14	44.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
45	45.0	1	5	1	1	0.5	0.5	0.5	0.0156273554774	0.0334772281349	0.0278379991651	0.0392913781106	7.09175001248e-05	8.74613033375e-05	0.00697097880766	1.0	7.29856645498e-14	7.29856103397e-14	2.50234157871e-15	0.707106769085	-0.707106769085	1.42759393716e-13	0.707106769085	0.707106769085	1.0	-4.93375177139e-14	-4.98392356573e-14	45.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
46	46.0	1	5	1	1	0.5	0.5	0.5	0.0162480691786	0.0449191257358	0.0436743237078	0.0551158338785	-4.99888519698e-05	-0.000117406474601	0.00696983095258	1.0	7.29700181572e-14	7.29699571708e-14	3.70651989336e-17	0.694658398628	-0.71933978796	1.42756737421e-13	0.71933978796	0.694658398628	1.0	-4.85075202933e-14	-5.06943662396e-14	46.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
47	47.0	1	5	1	1	0.5	0.5	0.5	0.017954318699	0.0563476122916	0.0594997182488	0.0709141045809	-0.000170402156073	-0.000321725587128	0.00697033200413	1.0	7.29856645498e-14	7.29856035634e-14	-2.41059012283e-15	0.681998372078	-0.731353700161	1.42799441434e-13	0.731353700161	0.681998372078	1.0	-4.77291918824e-14	-5.15456851735e-14	47.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
48	48.0	1	5	1	1	0.5	0.5	0.5	0.0204742447658	0.0677090287209	0.075221426785	0.0866304710507	-0.00029246028862	-0.000511626130901	0.00697235297412	1.0	7.30326240564e-14	7.303256307e-14	-4.91429161294e-15	0.669130623341	-0.7431448102	1.42883006316e-13	0.7431448102	0.669130623341	1.0	-4.69965219356e-14	-5.2443960226e-14	48.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
49	49.0	1	5	1	1	0.5	0.5	0.5	0.023524710328	0.0790234953165	0.0908864960074	0.102273575962	-0.000416969822254	-0.000719646865036	0.0069726947695	1.0	7.31109644396e-14	7.31109034533e-14	-7.50072916376e-15	0.656059026718	-0.754709541798	1.42894593727e-13	0.754709541798	0.656059026718	1.0	-4.62321492396e-14	-5.34057729138e-14	49.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
50	50.0	1	5	1	1	0.5	0.5	0.5	0.0268598238159	0.0902177020907	0.106357127428	0.1177008003	-0.000538720283657	-0.0009086750797	0.00697285402566	1.0	7.32207941197e-14	7.32207331333e-14	-9.98427042269e-15	0.642787635326	-0.766044437885	1.42887085627e-13	0.766044437885	0.642787635326	1.0	-4.54714797716e-14	-5.43082492497e-14	50.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
